genus	n_cohorts	cohorts	pooled_effect	SE	ci_lo_95	ci_hi_95	tau2	I2	Q	Q_p	z_stat	p_raw	direction_consistent	direction	q_value	fdr_sig
Phascolarctobacterium	3	cohort1,cohort2,cohort3	0.035273	0.062903	-0.088016	0.158562	0.011853	99.9	1408.6326	0.0	0.5608	0.574965	False	R+	0.811753	False
Longicatena	2	cohort1,cohort3	-0.030165	0.055315	-0.138582	0.078253	0.006096	99.6	255.9499	0.0	-0.5453	0.585527	False	NR+	0.811753	False
Marvinbryantia	2	cohort2,cohort3	0.069362	0.14219	-0.20933	0.348054	0.040406	99.9	1353.0972	0.0	0.4878	0.625681	False	R+	0.848145	False
Klebsiella	3	cohort1,cohort2,cohort3	0.040832	0.091628	-0.138758	0.220423	0.025163	99.9	2470.8022	0.0	0.4456	0.655863	False	R+	0.867207	False
Lachnospira	2	cohort1,cohort3	-0.038539	0.089906	-0.214755	0.137677	0.016127	99.8	416.7131	0.0	-0.4287	0.668176	False	NR+	0.867207	False
Limosilactobacillus	2	cohort1,cohort2	0.021904	0.05828	-0.092325	0.136134	0.006774	99.7	346.7549	0.0	0.3758	0.707031	False	R+	0.867655	False
Akkermansia	3	cohort1,cohort2,cohort3	0.038568	0.10392	-0.165115	0.24225	0.032381	99.9	3974.5411	0.0	0.3711	0.710541	False	R+	0.867655	False
Sutterella	3	cohort1,cohort2,cohort3	-0.025372	0.069768	-0.162117	0.111373	0.014581	99.9	1466.901	0.0	-0.3637	0.71611	False	NR+	0.867655	False
Methanobrevibacter	3	cohort1,cohort2,cohort3	0.021083	0.060983	-0.098443	0.140609	0.011138	99.9	1387.6125	0.0	0.3457	0.729553	False	R+	0.867655	False
Qiania	3	cohort1,cohort2,cohort3	-0.01949	0.065653	-0.14817	0.10919	0.012914	99.9	1515.4403	0.0	-0.2969	0.76657	False	NR+	0.867655	False
Emergencia	2	cohort1,cohort3	-0.075108	0.253223	-0.571425	0.421209	0.128213	100.0	4132.9791	0.0	-0.2966	0.766765	False	NR+	0.867655	False
Amedibacterium	2	cohort1,cohort3	0.028613	0.103211	-0.17368	0.230907	0.021281	99.9	888.3805	0.0	0.2772	0.781602	False	R+	0.867655	False
Junduvirus	2	cohort1,cohort3	0.002594	0.009387	-0.015804	0.020992	0.00015	83.4	6.0217	0.0141	0.2763	0.782312	False	R+	0.867655	False
Turicimonas	2	cohort2,cohort3	0.019582	0.111943	-0.199826	0.23899	0.024993	99.7	360.3159	0.0	0.1749	0.861135	False	R+	0.922655	False
Coprobacter	2	cohort2,cohort3	-0.01199	0.069056	-0.14734	0.123359	0.009517	99.8	474.1585	0.0	-0.1736	0.862153	False	NR+	0.922655	False
Haemophilus	3	cohort1,cohort2,cohort3	-0.004819	0.042353	-0.087831	0.078193	0.005367	99.7	793.8004	0.0	-0.1138	0.909403	False	NR+	0.948861	False
Monoglobus	3	cohort1,cohort2,cohort3	-0.004315	0.041786	-0.086216	0.077586	0.005222	99.7	717.9937	0.0	-0.1033	0.917751	False	NR+	0.948861	False
Pseudomonas	3	cohort1,cohort2,cohort3	-0.000545	0.025081	-0.049703	0.048614	0.001808	98.8	161.7341	0.0	-0.0217	0.982677	False	NR+	0.994959	False
Faecalibacillus	3	cohort1,cohort2,cohort3	-0.001149	0.181915	-0.357703	0.355404	0.099256	100.0	9875.4619	0.0	-0.0063	0.994959	False	NR+	0.994959	False
