file_id	file_name	case_id	case_submitter_id
9d773a75-ba87-49c2-aa70-6828723856c0	9ebcba44-5edb-4ba2-b927-07d7db3168eb.wxs.aliquot_ensemble_masked.maf.gz	c35d97f8-1b70-4fbd-a603-9230b3ba7952	TCGA-GN-A4U5
d88f4d78-c4ce-4eb1-9a74-c9510c7b4d33	518de910-4991-478b-9507-7afa30d0e06e.wxs.aliquot_ensemble_masked.maf.gz	db950f20-c869-4e1a-ada2-dbdc82b5865e	TCGA-W3-AA1O
3e269fe2-61f3-41de-a662-10e21c2c7f40	c11d8331-6134-4e69-b07f-f7713838621d.wxs.aliquot_ensemble_masked.maf.gz	6e1040d2-dee0-43c9-8462-fc0859d7d2af	TCGA-EE-A3JB
cdb6d2da-3983-44ed-a9d5-d7beb93eeeba	c8439474-37b8-451e-89f6-049468f45805.wxs.aliquot_ensemble_masked.maf.gz	f18cfe4a-fffd-4e09-9eef-343ba9ffd0d1	TCGA-EE-A2GK
8d1d32fe-86b7-4d61-a6ca-5ee992f5653f	10d500a4-04d1-4256-8239-7ee1e673a1e5.wxs.aliquot_ensemble_masked.maf.gz	3fea3f02-2db3-44e0-984e-c61130d92c9b	TCGA-ER-A19E
302dc4ee-86ce-4bb3-a45f-f7ea9d6dcb8c	ee5f571b-fd85-4e58-84a6-b870d5a458f7.wxs.aliquot_ensemble_masked.maf.gz	e3905d75-9d0a-4981-ab42-83ce2c20c4ea	TCGA-FR-A7UA
20d893f0-ec09-4912-afcf-1b9bf8d3223c	a7eafbf1-2926-48ee-89b4-9ea6b82cacf1.wxs.aliquot_ensemble_masked.maf.gz	ea3c0988-17c7-4eb0-a1a6-cef1e0865384	TCGA-ER-A42H
52163f5b-e137-4b93-bc50-1e2bdbcf6c6f	a7e8e97e-f8e7-455f-8560-e92b8064fa66.wxs.aliquot_ensemble_masked.maf.gz	01cb0004-fc1e-4da5-9d27-f458f8d711ee	TCGA-EE-A29V
9a0ed6e6-2029-4180-a00e-0f8b7923f2ac	a108df8f-4093-4b56-8987-ebfb07035358.wxs.aliquot_ensemble_masked.maf.gz	0caa706a-251f-43a0-897a-111aec0acc82	TCGA-FS-A4F9
a0eb022f-12b5-49a2-a837-d2d27ac3a08d	d59d70ee-4ed0-4ba0-a1b1-75fa01f60104.wxs.aliquot_ensemble_masked.maf.gz	0f7ff1fc-95ec-4eb5-a308-6b8f24eec29a	TCGA-EE-A3AB
4c8f06a3-0ba1-4a4a-9db0-28f8314f62b0	304e995c-0cb5-4848-9328-fb5cd9fa127f.wxs.aliquot_ensemble_masked.maf.gz	0d68acef-b6a0-4a8b-9088-15b9103e6aaf	TCGA-EE-A3J8
34173570-62f7-4171-b38e-5525b07d5976	a05a1620-d030-45e4-b6e1-161f5f133522.wxs.aliquot_ensemble_masked.maf.gz	04f7ecc8-4f6b-41ac-a984-9ea604698a21	TCGA-D3-A2JO
7ab2dd67-f409-4a52-867d-c980f16a2ad4	d37e7585-d23d-4e3d-8810-cf40fcbde805.wxs.aliquot_ensemble_masked.maf.gz	210726bd-db19-48ae-9a3d-e6ac44480e85	TCGA-DA-A1HV
e9f71c71-bd2a-47fc-993d-1163f7c2d0da	e376f447-0a94-435b-b1a0-fd2d7cfcb967.wxs.aliquot_ensemble_masked.maf.gz	1ca2eb9f-9496-450f-83fe-c7a6cb1a075b	TCGA-BF-A3DM
da0060a8-3c74-4f8f-9b08-1c1a5761ef44	909afd46-67f7-4fd4-8e27-84769f698e7a.wxs.aliquot_ensemble_masked.maf.gz	2316bc62-974a-4dfd-8ee2-9e4a08660a45	TCGA-D3-A51F
80cfe927-35c3-4619-b7eb-4d98a6ecdb52	d0a127e8-44b9-457b-b725-640f2bd53943.wxs.aliquot_ensemble_masked.maf.gz	23809ce7-77b4-432f-bda2-678f822b604a	TCGA-FR-A7U8
2eac9fa3-8625-430d-adf8-0ab295063c82	70642871-c8a6-45d0-8740-97bd83abdacc.wxs.aliquot_ensemble_masked.maf.gz	1f66a0e1-640a-4caa-85f1-61c6de475cf1	TCGA-D3-A51R
bb90aad2-4ed1-454b-aad1-6dc725dbceb9	ae3f58c3-1b43-4124-aaa0-6242ee3896d0.wxs.aliquot_ensemble_masked.maf.gz	2897a728-ec7b-4321-b0fe-3575b7c6ee39	TCGA-FR-A8YD
55092c8b-e431-481e-b3a2-11b3e715cb72	4ff8aeaa-c664-4cd9-8e44-28420d1989ef.wxs.aliquot_ensemble_masked.maf.gz	28cf244b-77dc-4b31-a65a-9746f15bb07e	TCGA-D3-A2JL
d906cd59-5313-474d-9367-a3ccfc25cc5c	3d88f869-3602-4c41-840c-b4ac61ac7511.wxs.aliquot_ensemble_masked.maf.gz	57882f61-4a32-49f1-afd4-61c70b184d8b	TCGA-FS-A1ZT
87085ef9-565f-4494-b718-a7d7d0a24119	be3eddd2-bbac-4bfc-b8f6-7a5cc0333109.wxs.aliquot_ensemble_masked.maf.gz	47a16bf2-229b-4e9a-8b5e-3dcc61fa9106	TCGA-D3-A2JG
b29ebe78-75ca-4e2c-9547-7d86375aed4d	aa93bfb1-53f6-497e-9b83-92a79e527ea9.wxs.aliquot_ensemble_masked.maf.gz	2d36cea4-73e9-493b-8433-0c2b911c0521	TCGA-D3-A3CC
fb155a0a-bb96-4c63-a846-104930034924	0ff5a2a1-5be3-4557-8faf-ec677be406d0.wxs.aliquot_ensemble_masked.maf.gz	5359d381-e7f2-4155-a559-7da9cda42ed9	TCGA-RP-A6K9
ac03fd8d-3cb5-4811-9aa9-b843b6e51b56	bb2d8f64-811a-49ae-b4e1-0352c0af6b64.wxs.aliquot_ensemble_masked.maf.gz	3a8cfea5-1dcd-4dbb-bbd9-5bb602c54922	TCGA-EE-A184
d4a06991-8ad1-431f-8d15-67d50b009a13	ac66fb86-62d7-477b-83aa-b2bfd979dabd.wxs.aliquot_ensemble_masked.maf.gz	8ab09143-daf6-40a9-85d3-0fe9de7b3e06	TCGA-ER-A193
a0b63ce2-8273-4abb-93f5-3f6c2aafd78a	8ba4ef5c-84fb-48b8-9231-64bcc8d7240f.wxs.aliquot_ensemble_masked.maf.gz	1068ad76-612e-40ee-b2fa-916da14b7916	TCGA-ER-A2NE
4c9a9108-228d-4753-96b8-0cc0de65135d	1eff62ee-b8d7-4690-afd5-f1c64e5b9b11.wxs.aliquot_ensemble_masked.maf.gz	40e17bf8-6c19-4e5e-b60d-ad54f504a970	TCGA-DA-A1HY
d13d91bd-5af2-4e42-82f7-ed5078e07c3d	cb5c4d12-43fc-4cbf-a095-93e6afd0ab5c.wxs.aliquot_ensemble_masked.maf.gz	511aa521-f38d-4ab7-9611-d8c1fec4c22b	TCGA-FW-A3TU
f786a24b-9728-4b6d-83fc-b3aad3a634a2	9116282a-4003-45b7-90ff-12db49151dd5.wxs.aliquot_ensemble_masked.maf.gz	791d3824-890f-43f2-b545-c7266506d716	TCGA-D3-A51T
0000e8b4-1361-41b9-b11d-bcd26d4c5ee1	74940d19-7a99-4323-9b8c-07cca52faf3c.wxs.aliquot_ensemble_masked.maf.gz	ce727e9e-325d-41d8-bfaf-0051418b9bef	TCGA-RP-A694
6311f680-9f0b-4e3f-98ed-223eafeaefac	285f36a8-b492-4143-9276-bce2409a18a6.wxs.aliquot_ensemble_masked.maf.gz	d3b77da8-be1d-4955-b1c7-55b7769785e8	TCGA-GN-A4U8
3a875986-a034-462a-ab56-527f384164b3	c4334b80-ba31-484a-a81f-c07077e9ecfc.wxs.aliquot_ensemble_masked.maf.gz	97991c80-c4aa-4ede-9fd9-bbaff9c4a472	TCGA-BF-AAP8
4212a297-9bc7-4e88-8d23-88823ab9940d	0acc2f69-17cf-4269-bc00-f9e6cc162998.wxs.aliquot_ensemble_masked.maf.gz	e699a2a7-dbff-4122-8114-87d70a56f59f	TCGA-EE-A17Y
de662663-2cbc-4f0b-b138-c56e484f1809	7ca0615f-4ca0-4d3a-b86b-ca1d76a00eb9.wxs.aliquot_ensemble_masked.maf.gz	bc71a91d-8ad1-4bab-a4fa-89470aa4e4d0	TCGA-EE-A20C
002dea57-3ed5-4779-ae8c-d78bb4816c6d	d2786127-ce6d-457a-a994-3beaeb088cb1.wxs.aliquot_ensemble_masked.maf.gz	4274d9ab-679f-453c-b086-7535cf798f0a	TCGA-D3-A8GB
93e17fa9-c010-40bb-bda4-0e71323a1468	6834b8ce-342e-40ad-8ca6-b35372ff274b.wxs.aliquot_ensemble_masked.maf.gz	05f4058d-3066-4d16-8320-cf92f122945f	TCGA-EB-A57M
f615883f-9176-4b4f-8e81-c239e5b4aae9	c6f4d6ca-1588-4416-8c8c-094d5d90ca79.wxs.aliquot_ensemble_masked.maf.gz	fb620e8b-4be7-4e53-af04-8e9c27b4dcf0	TCGA-EB-A6L9
4e7f12f4-ed6e-4605-ab6f-f7a4506503d2	00203b21-6817-4416-96e5-adef8c4059db.wxs.aliquot_ensemble_masked.maf.gz	132cdde9-70d8-4753-8e99-fc4ce3d371a4	TCGA-D3-A3CF
6393930d-ce00-41a3-92e2-8fa0816a1eb2	e74225bc-0d11-43c2-9ac2-c701943ba4fe.wxs.aliquot_ensemble_masked.maf.gz	f581a9b5-8956-4ac3-9375-370c446cad29	TCGA-D3-A3MV
97453109-fbcb-4ef3-9db1-b2c84879e80a	02b271ca-4f78-4861-b68f-cbf3a25ceb0e.wxs.aliquot_ensemble_masked.maf.gz	267b98e7-708f-458a-82d1-5faa415b9ee7	TCGA-EE-A20H
87329e23-87a5-4fdb-9a0e-33e090687a0a	2514b6b0-3242-4526-a061-6da4c60e461b.wxs.aliquot_ensemble_masked.maf.gz	42fb358c-cc9b-4963-9d16-4a7aa915002a	TCGA-D3-A8GJ
50c7253b-86b5-423a-8fdb-12b33df231b4	7e36b9b3-c262-4547-ba7d-6f6367d79a06.wxs.aliquot_ensemble_masked.maf.gz	32e40e0b-e74b-428c-acd3-84ec6a80c024	TCGA-EB-A5SF
6a234bfc-edc4-4d31-8ce7-a73bb4499aa0	8412ea5e-8678-41be-894d-b455a663d323.wxs.aliquot_ensemble_masked.maf.gz	d5f8b18c-8ae7-457a-aa3e-c4bd77b276ab	TCGA-ER-A19C
fc9fa668-1e2b-413c-b74b-140f65f62cd2	5c19a29b-16f9-42d6-808b-160013b1836e.wxs.aliquot_ensemble_masked.maf.gz	71115011-ff31-45a1-9949-dd69a51cac2a	TCGA-WE-A8JZ
663ae6b8-b760-46f0-8422-375ffd47e65d	9d410c30-413e-49e4-b96d-d54c84aa169f.wxs.aliquot_ensemble_masked.maf.gz	c714c48f-a18c-4110-a82d-3cc95c315afd	TCGA-D3-A5GR
deb9d4c9-706e-4b16-aacf-ad67671677f8	3a0da4a6-0c7d-47c1-8f06-2cccaa535023.wxs.aliquot_ensemble_masked.maf.gz	29bcb876-5a91-4d56-af47-7b4c856c151f	TCGA-FS-A1Z3
14496e3c-58f5-44fc-b3de-72797401ba60	a07d4ff9-e02b-46f2-b00a-e8fdcb3afa4f.wxs.aliquot_ensemble_masked.maf.gz	015ba831-106b-4b84-9e8c-243a9eeeebf6	TCGA-EE-A3AF
366baee5-9227-4d12-8ab4-f570430b0ab0	c0e70d69-7710-41df-8018-5707d4067e84.wxs.aliquot_ensemble_masked.maf.gz	f11b1e99-c14f-442e-acab-6353a5c77266	TCGA-WE-A8ZX
3bfcb35a-16cc-42f7-ba4f-4d77e0747209	134638b3-f509-42db-8dab-48e1a9403653.wxs.aliquot_ensemble_masked.maf.gz	0bb8c284-412b-4bbc-a508-d0a21db376cd	TCGA-ER-A19F
a0a1767a-0748-404c-8eb8-dfe53531e26f	ebd8773a-206e-4d5a-b55f-ac4f0b132d93.wxs.aliquot_ensemble_masked.maf.gz	dde0b2be-ea43-4de7-8feb-ccdc073c6978	TCGA-EE-A181
d0f34f2b-a414-4a67-b0d8-6cf6b853b43e	b67dbca7-6dd2-4f06-bb8c-ad01729a12d7.wxs.aliquot_ensemble_masked.maf.gz	2bdb65a5-4b72-4379-822d-69cc41fd663f	TCGA-QB-AA9O
