analysis	n	factor	R2	F_stat	p_value	n_perms	cohens_f2	note
pooled_n283	283	batch	0.10563	10.9839	0.001	999	0.118106	4-cohort pooled (Frankel+NovaSeq+Matson+Lee2022), no batch correction
pooled_n283	283	response	0.003876	1.0934	0.268	999	0.003891	4-cohort pooled (Frankel+NovaSeq+Matson+Lee2022), no batch correction
