ElasticNet	RandomForest	XGBoost
0.43870967741935485	0.5035282258064516	0.498991935483871
0.5121975806451613	0.4917842741935483	0.5000504032258064
0.4389616935483871	0.5035282258064516	0.5321572580645161
0.45952620967741936	0.5155241935483872	0.49934475806451617
0.5324092741935484	0.5170362903225807	0.5126008064516129
0.5059979838709677	0.47242943548387095	0.5155745967741935
0.5079637096774193	0.5118951612903226	0.5016633064516128
0.5315524193548387	0.48125	0.48306451612903223
0.538508064516129	0.5893649193548387	0.5397177419354838
0.5061995967741935	0.5202620967741935	0.5347782258064516
0.49213709677419354	0.44329637096774194	0.46376008064516133
0.5626008064516129	0.5784778225806451	0.5866431451612903
0.48256048387096784	0.5185987903225806	0.49153225806451617
0.4317540322580645	0.5302923387096774	0.48114919354838714
0.513961693548387	0.5130040322580645	0.511491935483871
0.46890120967741933	0.4856854838709677	0.49148185483870965
0.47489919354838717	0.4667338709677419	0.46370967741935487
0.4939012096774194	0.43437499999999996	0.43966733870967745
0.5565524193548388	0.4814516129032258	0.4698084677419355
0.46975806451612906	0.469758064516129	0.45060483870967744
0.48629032258064514	0.5441532258064516	0.5018649193548388
0.48382056451612904	0.5370967741935484	0.49551411290322583
0.534929435483871	0.4840725806451613	0.5057459677419356
0.4173387096774194	0.43291330645161286	0.44702620967741935
0.4711189516129032	0.5017641129032258	0.4810987903225806
0.5307963709677419	0.44798387096774195	0.4581149193548387
0.49838709677419357	0.4884576612903226	0.5076612903225806
0.4897681451612903	0.5537298387096774	0.5206149193548386
0.49480846774193543	0.4779233870967742	0.4617439516129032
0.5807459677419354	0.5725302419354839	0.5781754032258064
0.5524193548387097	0.47086693548387093	0.48976814516129036
0.4584677419354838	0.47928427419354835	0.4872479838709677
0.4487399193548387	0.43815524193548383	0.45408266129032254
0.5256048387096774	0.49223790322580646	0.5054435483870967
0.42666330645161293	0.4776713709677419	0.5250504032258064
0.5539818548387097	0.4561995967741935	0.5102822580645161
0.4683971774193548	0.5192036290322581	0.5121471774193549
0.49395161290322576	0.5043850806451613	0.4853326612903226
0.5199596774193549	0.520766129032258	0.5400201612903226
0.4896673387096774	0.4728326612903226	0.4447076612903226
0.4747479838709677	0.4568548387096774	0.4535282258064517
0.5451108870967742	0.4741935483870968	0.47787298387096777
0.5308467741935483	0.5381552419354839	0.5349798387096774
0.5329637096774194	0.5236391129032258	0.5184475806451613
0.5188508064516129	0.5113407258064515	0.5049395161290323
0.48608870967741935	0.5155241935483872	0.5209173387096775
0.5290322580645161	0.4661290322580645	0.4863407258064516
0.4606350806451613	0.4545866935483871	0.4525705645161291
0.4946572580645161	0.5100806451612904	0.4942540322580645
0.4736391129032258	0.49007056451612896	0.45367943548387096
0.4952620967741936	0.5188004032258065	0.5174899193548387
0.5284274193548387	0.48724798387096774	0.5227318548387098
0.4858366935483871	0.4381552419354839	0.4441532258064516
0.5375504032258065	0.4823588709677419	0.4969254032258065
0.5333165322580645	0.5106854838709678	0.4984879032258064
0.4805947580645162	0.564516129032258	0.5352318548387096
0.4632560483870968	0.41864919354838714	0.4811995967741936
0.44511088709677415	0.5376512096774194	0.49974798387096775
0.4974798387096775	0.5306451612903226	0.5310483870967742
0.5188004032258066	0.5095262096774194	0.49979838709677415
0.4594758064516129	0.46295362903225806	0.4383568548387097
0.4518649193548387	0.42258064516129024	0.44455645161290325
0.508820564516129	0.49097782258064515	0.5082661290322581
0.5435483870967742	0.4961693548387096	0.44465725806451617
0.4808467741935484	0.5668346774193549	0.5724798387096774
0.4459677419354839	0.5469254032258064	0.5461693548387097
0.4454637096774194	0.5486895161290322	0.4995967741935484
0.4831149193548387	0.45136088709677424	0.4777217741935484
0.5371471774193548	0.5799395161290323	0.5706653225806452
0.4864415322580645	0.5911290322580645	0.5146169354838709
0.5459173387096774	0.48654233870967745	0.4939516129032258
0.45917338709677413	0.5238407258064516	0.553679435483871
0.4542338709677419	0.5916834677419355	0.5587701612903226
0.49042338709677413	0.524445564516129	0.5483366935483871
0.46648185483870963	0.5206149193548387	0.4765120967741935
0.4993447580645161	0.5374495967741936	0.5014112903225807
0.5137096774193548	0.5303427419354839	0.5276209677419355
0.5174899193548388	0.5509072580645161	0.5734375
0.5011592741935484	0.45801411290322586	0.4766129032258065
0.5045866935483871	0.4561995967741935	0.43452620967741934
0.4151209677419355	0.38256048387096775	0.40902217741935487
0.5037298387096774	0.5115423387096775	0.49848790322580644
0.5033266129032258	0.5015120967741935	0.48941532258064513
0.46965725806451614	0.5314012096774193	0.5601814516129033
0.4934475806451613	0.5628024193548388	0.5349798387096774
0.4500504032258065	0.44213709677419355	0.4309475806451613
0.4866431451612903	0.5615423387096774	0.5489415322580645
0.4756552419354839	0.5613407258064516	0.5263104838709677
0.5294858870967741	0.5405241935483871	0.5628528225806452
0.4888608870967742	0.5268649193548387	0.4871471774193548
0.5083165322580645	0.4633568548387097	0.470766129032258
0.4686491935483871	0.40947580645161297	0.4249495967741936
0.463508064516129	0.5095262096774194	0.4740423387096773
0.4843245967741936	0.4447076612903226	0.4673387096774193
0.5160786290322581	0.5348286290322581	0.5509072580645161
0.458820564516129	0.4866935483870969	0.486945564516129
0.4979334677419355	0.4366431451612903	0.42958669354838713
0.4715221774193548	0.5194052419354838	0.5100302419354839
0.44450604838709673	0.4563508064516129	0.43145161290322587
0.5121975806451613	0.4698588709677419	0.5227822580645162
