model	observed_auc	perm_mean	perm_std	p_value	n_perms
ElasticNet	0.5173	0.4931	0.0343	0.2673	100
RandomForest	0.5409	0.5003	0.0434	0.1683	100
XGBoost	0.5235	0.4978	0.0386	0.2475	100
